-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
墠        shan      fkkf      BJKE      58A0      898D      15        土        121251251251112
墡        shan      fudk      BUUJ      58A1      898E      15        土        121431112431251
墢        fei       fwxc      BXYQ      58A2      898F      15        土        121543345153554
墣        pu        fogy      BKUC      58A3      8990      15        土        121224314311134
墤        tui       fkhm      BJAL      58A4      8991      15        土        121251212511134
墥        tuan      fujf      BSKB      58A5      8992      15        土        121414312511211
墦        fan       ftol      BPKI      58A6      8993      15        土        121343123425121
墧        que       ftdk      BMJL      58A7      8994      15        土        121313425125251
墨        mo        lfof      LKUB      58A8      C4AB      15        土        254312114444121
墩        dun       fybt      BSYM      58A9      B6D5      15        土        121412515213134
墪        dun       ybtf      SJMB      58AA      8995      15        土        412515213134121
墫        zun       fusf      BUFD      58AB      8996      15        土        121431253511124
墬        di        bxef      YZGB      58AC      8997      14        土        52551353334121
墭        sheng     fdnl      BHYL      58AD      8998      14        土        12113553425221
墮        hui       bdaf      YGQB      58AE      8999      14        土        52131212511121
墯        duo       ndaf      UGQB      58AF      899A      15        土        442131212511121
墰        tan       fsjh      BFKE      58B0      899B      15        土        121125221251112
墱        deng      fwgu      BXJU      58B1      899C      15        土        121543341251431
墲        wu        frlo      BMEU      58B2      899D      15        土        121311222214444
墳        fen       ffam      BEEL      58B3      899E      15        土        121121222511134
墴        huang     famw      BEKO      58B4      899F      14        土        12112212512134
墵        tan       fffc      BFBZ      58B5      89A0      15        土        121145244441154
墶        da        ffup      BWBU      58B6      89A1      15        土        121121431112454
墷        ye        fagf      BEEB      58B7      89A2      13        土        1211221122112
墸        zhu       fafj      BEBM      58B8      89A3      14        土        12112212132511
墹        jian      fujg      BXK       58B9      89A4      15        土        121511225112511
墺        yu        ftmd      BNUG      58BA      89A5      15        土        121325431234134
墻        qiang     ffuk      BBJJ      58BB      89A6      16        土        1211234341252511
墼        ji        gjff      FKQB      58BC      DBD4      16        土        1251112523554121
墽        qiao      fryt      BNSM      58BD      89A7      16        土        1213251141533134
墾        ken       eevf      PQXB      58BE      89A8      16        土        3443533511234121
墿        yi        flff      BLBU      58BF      89A9      16        土        1212522112143112
壀        pi        fnku      BXJS      58C0      89AA      16        土        1215132514143112
壁        bi        nkuf      XMSB      58C1      B1DA      16        土        5132514143112121
壂        dian      nawf      XMQB      58C2      89AB      16        土        5131221343554121
壃        jiang     fglg      BCKK      58C3      89AC      16        土        1211251211251211
壄        ye        scbf      FXFB      58C4      89AD      16        土        1234545231234121
壅        yong      yxtf      SZNB      58C5      DBD5      16        土        4155332411121121
壆        xue       wfqf      NBOB      58C6      89AE      16        土        3211343451145121
壇        tan       fylg      BSKA      58C7      89AF      16        土        1214125251125111
壈        lan       fylt      BSJM      58C8      89B0      16        土        1214125251131234
壉        ju        fhae      BIGQ      58C9      89B1      16        土        1212153151353334
壊        huai      ffle      BESR      58CA      89B2      16        土        1211225221413534
壋        dang      fipl      BKJK      58CB      89B3      16        土        1212434525125121
壌        rang      fufe      BSER      58CC      89B4      16        土        1214134112213534
壍        qian      ilrf      VFPB      58CD      89B5      17        土        44112511123312121
壎        xun       ftgo      BMBU      58CE      89B6      17        土        12131254312114444
壏        xian      fahl      BHML      58CF      89B7      17        土        12112512531425221
壐        xi        gwmf      AOOB      58D0      89B8      17        土        13425234343434121
壑        he        hpgf      IDXB      58D1      DBD6      17        土        21451343425154121
壒        ai        fafl      BEZL      58D2      89B9      16        土        1211221215425221
壓        ya        djef      GGSB      58D3      89BA      17        土        13251125111344121
壔        dao       ffnf      BBJD      58D4      89BB      17        土        12112151211251124
壕        hao       fype      BSWG      58D5      BABE      17        土        12141251451353334
壖        ruan      ffdj      BFGL      58D6      89BC      17        土        12114524444132522
壗        jin       fvgl      BXUL      58D7      89BD      17        土        12151121444425221
壘        lv        cccf      KIKB      58D8      89BE      18        土        251212512125121121
壙        kuang     fyaw      BTG       58D9      89BF      17        土        12141312212512134
壚        lu        fhal      BIKL      58DA      89C0      19        土        1212153152512125221
壛        yan       fuvv      BXRN      58DB      89C1      19        土        1215112251135321511
壜        tan       fjfc      BKBZ      58DC      89C2      19        土        1212511145244441154
壝        wei       fkhp      BWAL      58DD      89C3      18        土        121251212511134454
壞        hui       fyle      BSKR      58DE      89C4      19        土        1214125221241343534
壟        long      uegf      SIB       58DF      89C5      20        土        41431251121515111121
壠        long      fuen      BSI       58E0      89C6      20        土        12141431251121515111
壡        rui       hpgf      IDXB      58E1      89C7      19        土        2145134342511154121
壢        li        fdth      BGMI      58E2      89C8      19        土        1211331234312342121
壣        lin       fbxh      BCZZ      58E3      89C9      20        土        12112211155455453212
壤        rang      fyke      BSER      58E4      C8C0      20        土        12141251251112213534
壥        chan      fdlf      BGUB      58E5      89CA      20        土        12113254312114444121
壦        xun       faky      BEJN      58E6      89CB      20        土        12112225125132411121
壧        yan       fkkt      BJCM      58E7      89CC      22        土        1212512511351221113134
壨        lei       lllf      KIKB      58E8      89CD      23        土        25121251212512125121121
壩        ba        ffae      BFEQ      58E9      89CE      24        土        121145244441221251123511
壪        wan       fxyx      BZYZ      58EA      89CF      25        土        1214111251554444554444515
士        shi       fghg      BAA       58EB      CABF      3         士        121
壬        ren       tfd       MBVV      58EC      C8C9      4         士        3121
壭        san       fbj       BYVV      58ED      89D0      5         士        12152
壮        zhuang    ufg       TIB       58EE      D7B3      6         士        412121
壯        zhuang    nhdf      ZIB       58EF      89D1      7         士        5213121
声        sheng     fnr       BXM       58F0      C9F9      7         士        1215213
壱        yi        fpxb      BWRR      58F1      89D2      7         士        1214535
売        mai       fnud      BWRD      58F2      89D3      7         士        1214535
壳        ke        fpmb      BWQD      58F3      BFC7      7         士        1214535
壴        zhu       fkuf      BJUA      58F4      89D4      9         士        121251431
壵        zhuang    ffff      BBB       58F5      89D5      9         士        121121121
壶        hu        fpog      BWKU      58F6      BAF8      10        士        1214522431
壷        hu        fpkg      BWKA      58F7      89D6      11        士        12145251221
壸        kun       fpgg      BWAK      58F8      89D7      11        士        12145122431
壹        yi        fpgu      BWJU      58F9      D2BC      12        士        121451251431
壺        hu        fphg      BWIA      58FA      89D8      12        士        121452155121
壻        xu        fnhe      BXIQ      58FB      89D9      12        士        121521342511
壼        kun       fpgg      BWBZ      58FC      89DA      13        士        1214512155121
壽        shou      fnaf      BXJD      58FD      89DB      14        士        12151211251154
壾        mang      fkun      BJHX      58FE      89DC      13        士        1212514311515
壿        dun       fusf      BUFD      58FF      89DD      15        士        121431253511124
夀        shou      fnkf      BIJD      5900      89DE      14        士        11525121251124
夁        yi        flld      BLEJ      5901      89DF      16        士        1212522125122511
夂        dong      ttny      RSA       5902      E2BA      3         夂        354
夃        ying      eci       YMXS      5903      89E0      4         夂        5354
处        chu       thi       RSID      5904      B4A6      5         夂        35424
夅        jiang     tahj      RSMB      5905      89E1      6         夂        354152
夆        pang      tdhj      RSCI      5906      89E2      7         夂        3541112
备        bei       tlf       RSKI      5907      B1B8      8         夂        35425121
夈        zhai      tou       RSUF      5908      89E3      9         夂        354431234
変        bian      yotu      SNOR      5909      89E4      9         夂        413234354
夊        sui       ttny      RSA       590A      89E5      3         夂        354
夋        qun       cwtu      ZSOR      590B      89E6      7         夂        5434354
夌        ling      fqtu      BORS      590C      89E7      8         夂        12134354
复        fu        tjtu      MAKR      590D      B8B4      9         夂        312511354
夎        cuo       wwft      ODBR      590E      89E8      10        夂        3434121354
夏        xia       dhtu      ANRS      590F      CFC4      10        夂        1325111354
夐        xuan      qmwt      RLLR      5910      89E9      14        夂        35253425111354
夑        xie       oyot      UOUR      5911      89EA      18        夂        411125143344334354
夒        nao       ghtt      AIOR      5912      89EB      19        夂        1325111212151534354
夓        xia       qgdt      NBOR      5913      89EC      18        夂        132511135151134354
夔        kui       uhtt      UAOR      5914      D9E7      21        夂        431325111212151534354
夕        xi        qtny      RS        5915      CFA6      3         夕        354
外        wai       qhy       RSID      5916      CDE2      5         夕        35424
夗        yuan      qbn       RSYY      5917      89ED      5         夕        35455
夘        wan       qbh       RSY       5918      89EE      5         夕        35452
夙        su        mgqi      QDAR      5919      D9ED      6         夕        351354
多        duo       qqu       R/RSRS    591A      B6E0      6         夕        354354
夛        zhi       vqu       XBRS      591B      89EF      6         夕        511354
夜        ye        ywty      SNRS      591C      D2B9      8         夕        41323544
夝        qing      qtgg      RSMC      591D      89F0      8         夕        35431121
夞        oes       qhkx      RSJR      591E      89F1      10        夕        3542425135
够        gou       qkqq      RYRR      591F      B9BB      11        夕        35251354354
夠        gou       qkqq      RSRJ      5920      89F2      11        夕        35435435251
夡        qi        qqfk      RSBJ      5921      89F3      12        夕        354354121251
夢        meng      alpq      ELWR      5922      89F4      13        夕        1222522145354
夣        meng      yclq      SZWR      5923      89F5      14        夕        41542522145354
夤        yin       qpgw      RSKO      5924      E2B9      14        夕        35444512512134
夥        huo       jsqq      KFRR      5925      E2B7      14        夕        25111234354354
夦        chen      adwq      ECRR      5926      89F6      15        夕        122111345354354
大        da        dddd      GD        5927      B4F3      3         大        134
夨        ze        ndi       ZAS       5928      89F7      3         大        154
天        tian      gdi       AGD       5929      CCEC      4         大        1134
太        tai       dyi       GDS       592A      CCAB      4         大        1344
夫        fu        fwi       BDOD      592B      B7F2      4         大        1134
夬        jue       nwi       XGD       592C      89F8      4         大        5134
夭        yao       tdi       MGD       592D      D8B2      4         大        3134
央        yang      mdi       LDGD      592E      D1EB      5         大        25134
夯        ben       dlb       GDYM      592F      BABB      5         大        13453
夰        gao       djj       GDND      5930      89F9      5         大        13432
失        shi       rwi       MBOD      5931      CAA7      5         大        31134
夲        tao       dfj       GDED      5932      89FA      5         大        13412
夳        tai       dff       GDBD      5933      89FB      5         大        13411
头        tou       udi       TDGD      5934      CDB7      5         大        44134
夵        yan       diu       GDKO      5935      89FC      6         大        134234
夶        bi        ddy       GDGD      5936      89FD      6         大        134134
夷        yi        gxwi      GDYZ      5937      D2C4      6         大        151534
夸        kua       dfnb      GDBZ      5938      BFE4      6         大        134115
夹        jia       guwi      BDUO      5939      BCD0      6         大        143134
夺        duo       dfu       GDDS      593A      B6E1      6         大        134124
夻        hwa       dkf       GDJ       593B      89FE      6         大        134251
夼        kuang     dkj       GDND      593C      DEC5      6         大        134322
夽        yun       dfcu      GDBZ      593D      8A40      7         大        1341154
夾        xie       dwwi      GDOO      593E      8A41      7         大        1343434
夿        ba        dcb       GDYI      593F      8A42      7         大        1345215
奀        en        didu      GIGD      5940      8A43      7         大        1324134
奁        lian      daqu      GDHO      5941      DEC6      7         大        1341345
奂        huan      qmdu      RLGD      5942      DBBC      7         大        3525134
奃        ti        dqay      GDRS      5943      8A44      8         大        13435154
奄        yan       djnb      GDKZ      5944      D1D9      8         大        13425115
奅        pao       dqtb      GDMY      5945      8A45      8         大        13435352
奆        juan      danf      GDHX      5946      8A46      7         大        1341515
奇        qi        dskf      GDAJ      5947      C6E6      8         大        13412512
奈        nai       dfiu      GDBK      5948      C4CE      8         大        13411234
奉        feng      dwfh      COBI      5949      B7EE      8         大        11134112
奊        xie       ffnd      BBZS      594A      8A47      9         大        121121154
奋        fen       dlf       GDKI      594B      B7DC      8         大        13425121
奌        dian      hkdu      IDJG      594C      8A48      8         大        21251134
奍        yang      udjj      UBND      594D      8A49      8         大        43113432
奎        kui       dfff      GDBB      594E      BFFC      9         大        134121121
奏        zou       dwgd      COAG      594F      D7E0      9         大        111341134
奐        huan      qmqd      RLGD      5950      8A4A      9         大        352534134
契        qi        dhvd      CIYG      5951      C6F5      9         大        111253134
奒        kai       dynw      GDZO      5952      8A4B      9         大        134415334
奓        zha       dqqu      GDRR      5953      8A4C      9         大        134354354
奔        ben       dfaj      GDEE      5954      B1BC      8         大        13412132
奕        yi        yodu      SNOG      5955      DEC8      9         大        413234132
奖        jiang     uqdu      TIRG      5956      BDB1      9         大        412354134
套        tao       ddu       GDCH      5957      CCD7      10        大        1341211154
奘        zang      nhdd      ZIBG      5958      DECA      10        大        5213121134
奙        ben       cdjn      ZSKZ      5959      8A4D      10        大        5413425115
奚        xi        exdu      PVZG      595A      DEC9      10        大        3443554134
奛        huang     djef      GDKQ      595B      8A4E      11        大        13425113511
奜        fei       djdd      KCGD      595C      8A4F      11        大        21112111134
奝        diao      dmfk      GDBJ      595D      8A50      11        大        13435121251
奞        xun       dwyf      GDNI      595E      8A51      11        大        13432411121
奟        keng      deef      GDQQ      595F      8A52      11        大        13435113511
奠        dian      usgd      UDFG      5960      B5EC      12        大        431253511134
奡        ao        dhdj      ANGN      5961      8A53      12        大        132511113432
奢        she       dftj      GDBM      5962      C9DD      11        大        13412132511
奣        weng      gdje      AGKQ      5963      8A54      12        大        113425113511
奤        tai       ddmf      GDJK      5964      8A55      12        大        134132522111
奥        ao        tmod      NLUG      5965      B0C2      12        大        325431234134
奦        wu        cbtd      XSYG      5966      8A56      13        大        5452335453134
奧        ao        tmtd      NLPG      5967      8A57      13        大        3253431234134
奨        jiang     uefd      TIDG      5968      8A58      13        大        4123443124134
奩        lian      dakk      GDJJ      5969      8A59      14        大        13412512512515
奪        duo       dwyf      GDND      596A      8A5A      14        大        13432411121124
奫        yun       dith      GDVN      596B      8A5B      15        大        134441321155212
奬        jiang     nhdd      ZIDG      596C      8A5C      14        大        52133544124134
奭        shi       ddjj      GDAN      596D      8A5D      15        大        113251113251134
奮        fen       dwyl      GDNK      596E      8A5E      16        大        1343241112125121
奯        huo       dhdt      GDAK      596F      8A5F      16        大        1342121131233534
奰        bi        llld      LKLG      5970      8A60      18        大        252212522125221134
奱        luan      xyxd      ZSGD      5971      8A61      22        大        4111251554444554444134
奲        duo       dftf      GDKE      5972      8A62      23        大        13412132511251251251112
女        nv        vvvv      ZM        5973      C5AE      3         女        531
奴        nu        vcy       ZMXS      5974      C5AB      5         女        53154
奵        ting      vsh       ZMAI      5975      8A63      5         女        53112
奶        nai       ven       ZMYM      5976      C4CC      5         女        53153
奷        qian      vtfh      ZMME      5977      8A64      6         女        531312
奸        jian      vfh       ZMAE      5978      BCE9      6         女        531112
她        ta        vbn       ZMYI      5979      CBFD      6         女        531525
奺        jiu       vqyy      ZMRS      597A      8A65      6         女        531354
奻        nuan      vvg       ZMZM      597B      8A66      6         女        531531
奼        cha       vtan      ZMMH      597C      8A67      6         女        531315
好        hao       vbg       ZMYA      597D      BAC3      6         女        531521
奾        xian      vmh       ZMLL      597E      8A68      6         女        531252
奿        fan       vyvd      QYAZ      597F      8A69      6         女        354531
妀        ji        nvg       YYZM      5980      8A6A      6         女        515531
妁        shuo      vqyy      ZMRS      5981      E5F9      6         女        531354
如        ru        vkg       ZMJ       5982      C8E7      6         女        531251
妃        fei       vnn       ZMYY      5983      E5FA      6         女        531515
妄        wang      ynvf      SHZM      5984      CDFD      6         女        415531
妅        hong      vag       ZMBI      5985      8A6B      6         女        531121
妆        zhuang    uvg       TIZM      5986      D7B1      6         女        412531
妇        fu        vvg       ZMXB      5987      B8BE      6         女        531511
妈        ma        vcg       ZMX       5988      C2E8      6         女        531551
妉        dan       vpqn      ZMWR      5989      8A6C      7         女        5314535
妊        ren       vtfg      ZMMB      598A      C8D1      7         女        5313121
妋        you       vffy      ZMBO      598B      8A6D      7         女        5311134
妌        jing      vfjh      ZMBN      598C      8A6E      7         女        5311132
妍        yan       vgah      ZMAE      598D      E5FB      7         女        5311132
妎        jie       vwjh      ZMON      598E      8A6F      7         女        5313432
妏        wen       vyu       ZMSO      598F      8A70      7         女        5314134
妐        zhong     vwcy      ZMOZ      5990      8A71      7         女        5313454
妑        pa        vcn       ZMYI      5991      8A72      7         女        5315215
妒        du        vynt      ZMWM      5992      B6CA      7         女        5314513
妓        ji        vfcy      ZMEX      5993      BCCB      7         女        5311254
妔        keng      vymn      ZMSQ      5994      8A73      7         女        5314135
妕        zhong     vkhh      ZMJI      5995      8A74      7         女        5312512
妖        yao       vtdy      ZMMG      5996      D1FD      7         女        5313134
妗        jin       vwyn      ZMSX      5997      E6A1      7         女        5313445
妘        yun       vfcy      ZMBZ      5998      8A75      7         女        5311154
妙        miao      vitt      ZMKM      5999      C3EE      7         女        5312343
妚        pi        vgiy      ZMGI      599A      8A76      7         女        5311324
妛        chi       bhgv      ZIAZ      599B      8A77      7         女        5221531
妜        yue       vnwy      ZMXG      599C      8A78      7         女        5315134
妝        zhuang    nhdv      ZIZM      599D      8A79      7         女        5213531
妞        niu       vnfg      ZMXE      599E      E6A4      7         女        5315211
妟        yan       jvf       KZM       599F      8A7A      7         女        2511531
妠        nan       vmwy      ZMLO      59A0      8A7B      7         女        5312534
妡        xin       vrh       ZMPD      59A1      8A7C      7         女        5313312
妢        fen       vwvn      ZMOY      59A2      8A7D      7         女        5313453
妣        bi        vxxn      ZMRR      59A3      E5FE      7         女        5311535
妤        yu        vcbh      ZMXI      59A4      E6A5      7         女        5315452
妥        tuo       evf       PVZM      59A5      CDD7      7         女        3443531
妦        feng      vdhy      ZMCI      59A6      8A7E      7         女        5311112
妧        yuan      vfqn      ZMBR      59A7      8A80      7         女        5311135
妨        fang      vyn       ZMSY      59A8      B7C1      7         女        5314153
妩        wu        vfqn      ZMAG      59A9      E5FC      7         女        5311135
妪        yu        vaqy      ZMHO      59AA      E5FD      7         女        5311345
妫        gui       vyly      ZMYS      59AB      E6A3      7         女        5314354
妬        du        vynt      ZMG       59AC      8A81      8         女        53113251
妭        bo        vdcy      ZMXS      59AD      8A82      8         女        53113544
妮        ni        vnxn      ZMXR      59AE      C4DD      8         女        53151335
妯        zhou      vmg       ZMKI      59AF      E6A8      8         女        53125121
妰        zhuo      vthf      ZMMI      59B0      8A83      8         女        53131211
妱        zhao      vvkg      ZMYJ      59B1      8A84      8         女        53153251
妲        da        vjgg      ZMKA      59B2      E6A7      8         女        53125111
妳        ni        vqiy      ZMRK      59B3      8A85      8         女        53135234
妴        yuan      qbvf      RSYZ      59B4      8A86      8         女        35355531
妵        tou       vygg      ZMSC      59B5      8A87      8         女        53141121
妶        xuan      vyxy      ZMZZ      59B6      8A88      8         女        53141554
妷        zhi       vrwy      ZMMO      59B7      8A89      8         女        53131134
妸        e         vskg      ZMAJ      59B8      8A8A      8         女        53112512
妹        mei       vfiy      ZMBK      59B9      C3C3      8         女        53111234
妺        mo        vgsy      ZMAF      59BA      8A8B      8         女        53111234
妻        qi        gvhv      AXZM      59BB      C6DE      8         女        15112531
妼        bi        vntt      ZMWM      59BC      8A8C      8         女        53145434
妽        shen      vjhh      ZMKI      59BD      8A8D      8         女        53125112
妾        qie       uvf       SUZM      59BE      E6AA      8         女        41431531
妿        e         lkvf      YMJZ      59BF      8A8E      8         女        53251531
姀        he        vty       ZMMF      59C0      8A8F      8         女        53131234
姁        xu        vqkg      ZMRJ      59C1      8A90      8         女        53135251
姂        fa        vtpy      ZMMW      59C2      8A91      7         女        5313454
姃        zheng     vghg      ZMAI      59C3      8A92      8         女        53112121
姄        min       vnan      ZMYH      59C4      8A93      8         女        53151515
姅        ban       vufh      ZMUB      59C5      8A94      8         女        53143112
姆        mu        vxgu      ZMZY      59C6      C4B7      8         女        53155414
姇        fu        wfvf      NDZM      59C7      8A95      8         女        32124531
姈        ling      vwgc      ZMOW      59C8      8A96      8         女        53134454
姉        zi        vgmh      ZMAL      59C9      8A97      7         女        5311252
姊        zi        vtnt      ZMIM      59CA      E6A2      7         女        5313523
始        shi       vckg      ZMZJ      59CB      CABC      8         女        53154251
姌        ran       vmfg      ZMLB      59CC      8A98      8         女        53125211
姍        xian      vmmg      ZMLE      59CD      8A99      8         女        53125221
姎        yang      vmdy      ZMLG      59CE      8A9A      8         女        53125134
姏        man       vafg      ZMEB      59CF      8A9B      8         女        53112211
姐        jie       vegg      ZMLC      59D0      BDE3      8         女        53125111
姑        gu        vdg       ZMEJ      59D1      B9C3      8         女        53112251
姒        si        vnyw      ZMZO      59D2      E6A6      7         女        5315434
姓        xing      vtgg      ZMMC      59D3      D0D5      8         女        53131121
委        wei       tvf       MFZM      59D4      CEAF      8         女        31234534
姕        zi        hxvf      IIRZ      59D5      8A9C      9         女        212135531
姖        ju        vang      ZMHX      59D6      8A9D      7         女        5311515
姗        shan      vmmg      ZMQA      59D7      E6A9      8         女        53135351
姘        pin       vuah      ZMUE      59D8      E6B0      9         女        531431132
姙        ren       vwtf      ZMMB      59D9      8A9E      9         女        531323121
姚        yao       viqn      ZMVR      59DA      D2A6      9         女        531341534
姛        dong      vmgk      ZMLD      59DB      8A9F      9         女        531251251
姜        jiang     ugvf      UCZM      59DC      BDAA      9         女        431121531
姝        shu       vriy      ZMMK      59DD      E6AD      9         女        531311234
姞        ji        vfkf      ZMBJ      59DE      8AA0      9         女        531121251
姟        gai       vynw      ZMZO      59DF      8AA1      9         女        531415334
姠        xiang     vtmk      ZMNJ      59E0      8AA2      9         女        531325251
姡        huo       vtdf      ZMMI      59E1      8AA3      9         女        531312251
姢        juan      vcef      ZMZQ      59E2      8AA4      9         女        531542511
姣        jiao      vuqy      ZMOO      59E3      E6AF      9         女        531413434
姤        gou       vrgk      ZMAJ      59E4      8AA5      9         女        531331251
姥        lao       vftx      ZMBR      59E5      C0D1      9         女        531121335
姦        jian      vvvf      ZMZZ      59E6      8AA6      9         女        531531531
姧        jian      vvfh      ZMAE      59E7      8AA7      9         女        531531112
姨        yi        vgxw      ZMGY      59E8      D2CC      9         女        531151534
姩        nian      vrhf      ZMMM      59E9      8AA8      9         女        531311212
姪        zhi       vgcf      ZMHB      59EA      8AA9      9         女        531154121
姫        zhen      vahh      ZMH       59EB      8AAA      9         女        531125125
姬        ji        vahh      ZMH       59EC      BCA7      10        女        5311225125
姭        xian      lllv      YMYZ      59ED      8AAB      9         女        535353531
姮        heng      vgjg      ZMBK      59EE      8AAC      9         女        531125111
姯        guang     viqn      ZMKG      59EF      8AAD      9         女        531243135
姰        xun       vqjg      ZMRK      59F0      8AAE      9         女        531352511
姱        kua       vdfn      ZMBZ      59F1      8AAF      9         女        531134115
姲        yan       vpvg      ZMWZ      59F2      8AB0      9         女        531445531
姳        ming      vqkg      ZMRJ      59F3      8AB1      9         女        531354251
姴        lie       gqjv      ARKZ      59F4      8AB2      9         女        135422531
姵        pei       vmgh      ZMAL      59F5      8AB3      9         女        531351252
姶        ya        vwgk      ZMAJ      59F6      8AB4      9         女        531341251
姷        you       vdeg      ZMGQ      59F7      8AB5      9         女        531132511
姸        yan       vgdf      ZMAE      59F8      8AB6      9         女        531113112
姹        cha       vpta      ZMMH      59F9      E6B1      9         女        531445315
姺        xian      vtfq      ZMMR      59FA      8AB7      9         女        531312135
姻        yin       vldy      ZMJD      59FB      D2F6      9         女        531251341
姼        ti        vqqy      ZMRR      59FC      8AB8      9         女        531354354
姽        wa        vqdb      ZMGY      59FD      8AB9      9         女        531351355
姾        quan      vwgg      ZMOC      59FE      8ABA      9         女        531341121
姿        zi        uqwv      TDRZ      59FF      D7CB      9         女        413534531
娀        song      vadt      ZMHG      5A00      8ABB      9         女        531113534
威        wei       dgvt      HMAZ      5A01      CDFE      9         女        131531534
娂        hong      vawy      ZMEO      5A02      8ABC      9         女        531122134
娃        wa        vffg      ZMBB      5A03      CDDE      9         女        531121121
娄        lou       ovf       UFZM      5A04      C2A6      9         女        431234531
娅        ya        vgog      ZMAK      5A05      E6AB      9         女        531122431
娆        rao       vatq      ZMHG      5A06      E6AC      9         女        531153135
娇        jiao      vtdj      ZMGN      5A07      BDBF      9         女        531313432
娈        luan      yovf      SKZM      5A08      E6AE      9         女        412234531
娉        ping      vmgn      ZMAZ      5A09      E6B3      10        女        5312512115
娊        xian      vhqn      ZMLR      5A0A      8ABD      10        女        5312511135
娋        shao      vieg      ZMKQ      5A0B      8ABE      10        女        5312432511
娌        li        vjfg      ZMKB      5A0C      E6B2      10        女        5312511211
娍        sheng     vdnt      ZMHY      5A0D      8ABF      9         女        531135534
娎        xie       rrvf      DPZM      5A0E      8AC0      10        女        1213312531
娏        mang      vdne      ZMGM      5A0F      8AC1      10        女        5311353334
娐        fu        vebg      ZMPY      5A10      8AC2      10        女        5313443521
娑        suo       iitv      VKMZ      5A11      E6B6      10        女        4412343531
娒        wu        vtxu      ZMMZ      5A12      8AC3      10        女        5313155414
娓        wei       vntn      ZMXM      5A13      E6B8      10        女        5315133115
娔        ke        vdqn      ZMJR      5A14      8AC4      10        女        5311225135
娕        lai       vgki      ZMFJ      5A15      8AC5      10        女        5311251234
娖        cu        vkhy      ZMJI      5A16      8AC6      10        女        5312512134
娗        ting      vtfp      ZMMB      5A17      8AC7      9         女        531312154
娘        niang     vyve      ZMSX      5A18      C4EF      10        女        5314511534
娙        xing      vgva      ZMHB      5A19      8AC8      10        女        5311555121
娚        nan       vlln      ZMKY      5A1A      8AC9      10        女        5312512153
娛        yu        vkgd      ZMZG      5A1B      8ACA      10        女        5312515134
娜        na        vvfb      ZMBY      5A1C      C4C8      9         女        531511352
娝        po        vgik      ZMGJ      5A1D      8ACB      10        女        5311324251
娞        sui       vevg      ZMPZ      5A1E      8ACC      10        女        5313443531
娟        juan      vkeg      ZMJQ      5A1F      BEEA      10        女        5312512511
娠        shen      vdfe      ZMGH      5A20      C9EF      10        女        5311311534
娡        zhi       vfny      ZMBW      5A21      8ACD      10        女        5311214544
娢        han       vwyk      ZMXJ      5A22      8ACE      10        女        5313445251
娣        di        vuxt      ZMUY      5A23      E6B7      10        女        5314351523
娤        zhuang    nhdv      ZIBZ      5A24      8ACF      10        女        5213121531
娥        e         vtrt      ZMMH      5A25      B6F0      10        女        5313121534
娦        ping      vrgw      ZMPO      5A26      8AD0      10        女        5313212134
娧        tui       vukq      ZMJR      5A27      8AD1      10        女        5314325135
娨        xian      vjfh      ZMAE      5A28      8AD2      10        女        5312511112
娩        mian      vqkq      ZMJR      5A29      C3E4      10        女        5313525135
娪        yu        vgkg      ZMXJ      5A2A      8AD3      10        女        5311251251
娫        yan       vthp      ZMMI      5A2B      8AD4      9         女        531321554
娬        wu        vgah      ZMHI      5A2C      8AD5      11        女        53111212154
娭        xi        vctd      ZMZM      5A2D      8AD6      10        女        5315431134
娮        yan       vyg       ZMS       5A2E      8AD7      10        女        5314111251
娯        yu        vkgd      ZMAO      5A2F      8AD8      10        女        5312515134
娰        si        vwnw      ZMZO      5A30      8AD9      9         女        531325434
娱        yu        vkgd      ZMAG      5A31      D3E9      10        女        5312511134
娲        wa        vkmw      ZMLO      5A32      E6B4      10        女        5312512534
娳        li        vtjh      ZMMK      5A33      8ADA      10        女        5313123422
娴        xian      vusy      ZMTF      5A34      E6B5      10        女        5314251234
娵        ju        vbcy      ZMCX      5A35      8ADB      11        女        53112211154
娶        qu        bcvf      CEXZ      5A36      C8A2      11        女        12211154531
娷        zhui      vtgf      ZMEB      5A37      8ADC      11        女        53131212211
娸        qi        vadw      ZMEC      5A38      8ADD      11        女        53112211134
娹        xian      vxyx      ZMZZ      5A39      8ADE      11        女        53151541554
娺        zhuo      vccc      ZMXX      5A3A      8ADF      11        女        53154545454
娻        dong      vgji      ZMFK      5A3B      8AE0      11        女        53112511234
娼        chang     vjjg      ZMKK      5A3C      E6BD      11        女        53125112511
娽        lu        vviy      ZMXK      5A3D      8AE1      11        女        53151124134
娾        e         vdff      ZMBB      5A3E      8AE2      11        女        53113121121
娿        e         bskf      YAJZ      5A3F      8AE3      10        女        5212512531
婀        e         vbsk      ZMAJ      5A40      E6B9      10        女        5315212512
婁        lv        lfkv      KJZM      5A41      8AE4      11        女        25112512531
婂        mian      vrmh      ZMNL      5A42      8AE5      11        女        53132511252
婃        cong      vpfi      ZMWB      5A43      8AE6      11        女        53144511234
婄        pou       vukg      ZMSJ      5A44      8AE7      11        女        53141431251
婅        ju        vqoy      ZMRU      5A45      8AE8      11        女        53135431234
